,Date,-2_sent,-1_sent,0_sent,1_sent,2_sent,N,S,H,A,F
0,2022-06-02,710.0,4686.0,1072.0,1512.0,78.0,1072.0,527.0,1590.0,2618.0,2251.0
1,2022-06-01,2013.0,14136.0,3430.0,5594.0,300.0,3430.0,1558.0,5894.0,7832.0,6759.0
2,2022-05-31,1959.0,14878.0,3786.0,5464.0,225.0,3786.0,1675.0,5689.0,7904.0,7258.0
3,2022-05-30,1625.0,11247.0,2787.0,4232.0,159.0,2787.0,1328.0,4391.0,6219.0,5325.0
4,2022-05-29,1574.0,11353.0,2680.0,4383.0,183.0,2680.0,1399.0,4566.0,6208.0,5320.0
5,2022-05-28,1766.0,11534.0,2462.0,4040.0,199.0,2462.0,1426.0,4239.0,6457.0,5417.0
6,2022-05-27,1874.0,13529.0,3353.0,5288.0,231.0,3353.0,1408.0,5519.0,7309.0,6686.0
7,2022-05-26,2210.0,14349.0,3242.0,5124.0,248.0,3242.0,1481.0,5372.0,7626.0,7452.0
8,2022-05-25,2845.0,15105.0,3456.0,4897.0,179.0,3456.0,1639.0,5076.0,8472.0,7839.0
9,2022-05-24,2622.0,17041.0,3795.0,6078.0,243.0,3795.0,1882.0,6321.0,8944.0,8837.0
10,2022-05-23,2344.0,17334.0,4278.0,6913.0,237.0,4278.0,1889.0,7150.0,9097.0,8692.0
11,2022-05-22,1898.0,14253.0,3067.0,4209.0,203.0,3067.0,1634.0,4412.0,7834.0,6683.0
12,2022-05-21,1899.0,13958.0,3060.0,5140.0,222.0,3060.0,1654.0,5362.0,7471.0,6732.0
13,2022-05-20,2375.0,18424.0,4427.0,6741.0,295.0,4427.0,2114.0,7036.0,9758.0,8927.0
14,2022-05-19,2572.0,19848.0,4455.0,6932.0,274.0,4455.0,1951.0,7206.0,10434.0,10035.0
15,2022-05-18,2566.0,19415.0,4825.0,7556.0,281.0,4825.0,2043.0,7837.0,10062.0,9876.0
16,2022-05-17,2683.0,20365.0,5308.0,9128.0,259.0,5308.0,2094.0,9387.0,11092.0,9862.0
17,2022-05-16,2422.0,17511.0,3934.0,5726.0,197.0,3934.0,1985.0,5923.0,8789.0,9159.0
18,2022-05-15,1825.0,12232.0,2419.0,3866.0,155.0,2419.0,1370.0,4021.0,6829.0,5858.0
19,2022-05-14,2202.0,15639.0,3067.0,4415.0,228.0,3067.0,1867.0,4643.0,8763.0,7211.0
20,2022-05-13,2784.0,20858.0,4609.0,6560.0,250.0,4609.0,2319.0,6810.0,11118.0,10205.0
21,2022-05-12,2786.0,22780.0,4837.0,7086.0,288.0,4837.0,2670.0,7374.0,11399.0,11497.0
22,2022-05-11,2558.0,20055.0,4492.0,7192.0,309.0,4492.0,2009.0,7501.0,11417.0,9187.0
23,2022-05-10,2546.0,20378.0,4430.0,6679.0,246.0,4430.0,2105.0,6925.0,11198.0,9621.0
24,2022-05-09,2187.0,16679.0,3858.0,6231.0,247.0,3858.0,1813.0,6478.0,9016.0,8037.0
25,2022-05-08,1638.0,11278.0,2624.0,4094.0,176.0,2624.0,1269.0,4270.0,6411.0,5236.0
26,2022-05-07,1835.0,14249.0,2917.0,4654.0,211.0,2917.0,1618.0,4865.0,7520.0,6946.0
27,2022-05-06,2174.0,19069.0,4112.0,6437.0,351.0,4112.0,2224.0,6788.0,9195.0,9824.0
28,2022-05-05,2250.0,19441.0,4091.0,6093.0,250.0,4091.0,2004.0,6343.0,9292.0,10395.0
29,2022-05-04,2014.0,16797.0,3886.0,6316.0,245.0,3886.0,1596.0,6561.0,9110.0,8105.0
30,2022-05-03,636.0,5247.0,1125.0,1744.0,81.0,1125.0,496.0,1825.0,3110.0,2277.0
31,2022-05-02,21.0,205.0,75.0,166.0,11.0,75.0,15.0,177.0,124.0,87.0
32,2022-05-01,22.0,237.0,67.0,136.0,11.0,67.0,15.0,147.0,159.0,85.0
33,2022-04-30,12.0,278.0,78.0,172.0,12.0,78.0,19.0,184.0,163.0,108.0
34,2022-04-29,307.0,2438.0,674.0,931.0,55.0,674.0,306.0,986.0,1387.0,1052.0
35,2022-04-28,2361.0,20257.0,5067.0,7768.0,288.0,5067.0,1987.0,8056.0,10947.0,9684.0
36,2022-04-27,2405.0,20501.0,4933.0,7358.0,268.0,4933.0,1842.0,7626.0,10886.0,10178.0
37,2022-04-26,2464.0,22025.0,5696.0,9428.0,273.0,5696.0,2001.0,9701.0,11729.0,10759.0
38,2022-04-25,1974.0,15748.0,3752.0,6262.0,248.0,3752.0,1675.0,6510.0,8091.0,7956.0
39,2022-04-24,1770.0,12801.0,2615.0,4109.0,186.0,2615.0,1570.0,4295.0,6853.0,6148.0
40,2022-04-23,1693.0,12739.0,2857.0,4776.0,193.0,2857.0,1440.0,4969.0,6769.0,6223.0
41,2022-04-22,1858.0,15794.0,3874.0,5941.0,258.0,3874.0,1558.0,6199.0,8253.0,7841.0
42,2022-04-21,2667.0,20159.0,4246.0,6378.0,243.0,4246.0,1974.0,6621.0,11288.0,9564.0
43,2022-04-20,3350.0,24986.0,5245.0,7194.0,263.0,5245.0,2428.0,7457.0,14668.0,11240.0
44,2022-04-19,4715.0,31557.0,5982.0,8589.0,323.0,5982.0,3037.0,8912.0,18331.0,14904.0
45,2022-04-18,2340.0,18021.0,4194.0,6473.0,236.0,4194.0,1984.0,6709.0,9676.0,8701.0
46,2022-04-17,1519.0,10740.0,2393.0,4715.0,173.0,2393.0,1141.0,4888.0,5920.0,5198.0
47,2022-04-16,1747.0,12112.0,2944.0,4461.0,176.0,2944.0,1365.0,4637.0,6826.0,5668.0
48,2022-04-15,2037.0,15408.0,4055.0,6618.0,242.0,4055.0,1553.0,6860.0,8190.0,7702.0
49,2022-04-14,2103.0,16528.0,3997.0,6923.0,278.0,3997.0,1727.0,7201.0,8882.0,8022.0
50,2022-04-13,2686.0,19205.0,4297.0,6659.0,253.0,4297.0,2150.0,6912.0,10526.0,9215.0
51,2022-04-12,2911.0,20979.0,4658.0,6483.0,212.0,4658.0,2114.0,6695.0,11993.0,9783.0
